Date,AMD,CSCO,INTC,INTU,NVDA
2017-01-03,11.430000305175781,25.985626220703125,31.973003387451172,110.02851867675781,25.166444778442383
2017-01-04,11.430000305175781,25.83115577697754,31.807022094726562,110.24906921386719,25.75360870361328
2017-01-05,11.239999771118164,25.891225814819336,31.754606246948242,110.92985534667969,25.099838256835938
2017-01-06,11.319999694824219,25.942712783813477,31.868173599243164,112.38198852539062,25.435354232788086
2017-01-09,11.489999771118164,25.89980697631836,31.981735229492188,112.04539489746094,26.466588973999023
2017-01-10,11.4399995803833,26.071443557739258,31.920583724975586,111.66071319580078,26.26675796508789
2017-01-11,11.199999809265137,25.874061584472656,32.278751373291016,111.92035675048828,25.943572998046875
2017-01-12,10.760000228881836,25.779664993286133,32.069091796875,112.5550765991211,25.519237518310547
2017-01-13,10.579999923706055,25.805408477783203,32.13898468017578,112.61277770996094,25.516767501831055
2017-01-17,9.819999694824219,25.736753463745117,32.14771270751953,111.6415023803711,24.944414138793945
2017-01-18,9.880000114440918,25.771080017089844,32.112770080566406,111.35298919677734,25.398353576660156
2017-01-19,9.770000457763672,25.72817039489746,31.946794509887695,111.5068588256836,25.943572998046875
2017-01-20,9.75,25.83115577697754,32.270015716552734,112.61277770996094,25.659854888916016
2017-01-23,9.90999984741211,25.977041244506836,32.12150573730469,112.61277770996094,25.926301956176758
2017-01-24,10.4399995803833,26.26024055480957,32.864051818847656,114.19953155517578,26.47892189025879
2017-01-25,10.350000381469727,26.34606170654297,33.02129364013672,115.41128540039062,26.592405319213867
2017-01-26,10.520000457763672,26.38038444519043,32.8116340637207,113.92066955566406,27.05127716064453
2017-01-27,10.670000076293945,26.586349487304688,33.17854309082031,114.04568481445312,27.574295043945312
2017-01-30,10.609999656677246,26.457624435424805,32.689334869384766,113.98797607421875,27.142553329467773
2017-01-31,10.369999885559082,26.363222122192383,32.165191650390625,114.03607177734375,26.93532943725586
2017-02-01,12.0600004196167,26.174421310424805,31.90311050415039,113.19939422607422,28.112112045288086
2017-02-02,12.279999732971191,26.757986068725586,32.04288864135742,113.31481170654297,28.46737289428711
2017-02-03,12.239999771118164,26.878131866455078,32.130859375,113.83412170410156,28.21820068359375
2017-02-06,13.630000114440918,26.860965728759766,31.91091537475586,113.37252044677734,28.941043853759766
2017-02-07,13.289999961853027,26.98969841003418,31.981300354003906,112.97821807861328,29.390045166015625
2017-02-08,13.5600004196167,26.83521842956543,32.007694244384766,112.0838623046875,29.261760711669922
2017-02-09,13.420000076293945,27.032602310180664,31.198259353637695,111.6415023803711,28.711610794067383
2017-02-10,13.579999923706055,27.041183471679688,31.092679977416992,113.02630615234375,28.030702590942383
2017-02-13,13.489999771118164,27.435943603515625,31.49740219116211,113.86298370361328,26.73796272277832
2017-02-14,13.260000228881836,27.72772789001465,31.611778259277344,114.2861099243164,26.836647033691406
2017-02-15,13.300000190734863,28.165395736694336,31.71734619140625,114.39188385009766,26.89092254638672
2017-02-16,12.970000267028809,28.834774017333984,32.03408432006836,114.67079162597656,26.459184646606445
2017-02-17,13.130000114440918,28.95492172241211,32.09566879272461,115.26702117919922,26.454252243041992
2017-02-21,14.0,29.289608001708984,32.130859375,115.27664947509766,27.40160369873047
2017-02-22,14.279999732971191,29.255285263061523,31.734954833984375,114.85350036621094,27.35960578918457
2017-02-23,14.319999694824219,29.212373733520508,31.83173179626465,116.07482147216797,24.82274055480957
2017-02-24,14.119999885559082,29.452667236328125,32.13966751098633,123.10472869873047,25.06235122680664
2017-02-27,15.199999809265137,29.401172637939453,32.122066497802734,121.0274887084961,25.791053771972656
2017-02-28,14.460000038146973,29.33251953125,31.84932518005371,120.63320922851562,25.067291259765625
2017-03-01,14.960000038146973,29.55564308166504,31.611778259277344,119.758056640625,25.390878677368164
2017-03-02,13.899999618530273,29.512733459472656,31.594181060791016,120.37352752685547,24.45468521118164
2017-03-03,13.029999732971191,29.426916122436523,31.585386276245117,121.60448455810547,24.313888549804688
2017-03-06,13.039999961853027,29.34109878540039,31.2950439453125,121.26790618896484,24.12615394592285
2017-03-07,13.050000190734863,29.349679946899414,31.49740219116211,120.59474182128906,24.390466690063477
2017-03-08,13.220000267028809,29.195215225219727,31.339033126831055,120.78707122802734,24.34600067138672
